ProductOrServiceCode,ProductOrServiceCodeText,ServicesCategory,ProductOrServiceCode1L,ProductOrServiceCode2L,ProductOrServiceCode2R,ProductOrServiceCode1L1R,Simple,HostNation3Category,Unseperated,IsService,IsCatchAllCode,DoDportfolioGroup,DoDportfolio,DoDportfolioCategory,DoDportfolioSubCategory,PlatformPortfolio,ProductsCategory,ProductOrServiceArea,isRnD1to5,PBLscore,IsPossibleReclassification,IsPossibleSoftwareEngineering,RnD_BudgetActivity,ProductServiceOrRnDarea,CanadaSector,OCOcrisisScore,VAPortfolio,OCOcrisisPercent,CrisisPercent,CrisisProductOrServiceArea,IsRnDdefenseSystem,Level1_Code,Level1_Category,Level2_Code,Level2_Category,GreenEnergy,BioRelated,IsPossibleC2,IsRemotelyOperated,AsAServiceLaborProduct,ShipCategory,IsEOsensor
,NULL,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL,FALSE,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,,NULL
0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1000,NONE,Products,1,10,00,10,Products,Commodity,NULL,FALSE,TRUE,2.  Weapons & Ammunition,Guns,Guns through 30 mm,No Description,Ordnance and Missiles,Launchers & Munitions,Launchers & Munitions,FALSE,NULL,NULL,NULL,NULL,Launchers & Munitions,"Weapons, Ammunition and Missiles",0,Weapons and Ammunition,0,NULL,Launchers & Munitions,FALSE,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,,NULL
1005,"GUNS, THROUGH 30 MM",Products,1,10,05,15,Products,Commodity,NULL,FALSE,NULL,2.  Weapons & Ammunition,Guns,Guns through 30 mm,Guns through 30 mm,Ordnance and Missiles,Launchers & Munitions,Launchers & Munitions,FALSE,NULL,NULL,NULL,NULL,Launchers & Munitions,"Weapons, Ammunition and Missiles",0,Weapons and Ammunition,0.0017,NULL,Launchers & Munitions,FALSE,12,Weapons & Ammunition,12.4,Guns,NULL,,NULL,NULL,NULL,,NULL
1010,"GUNS, OVER 30 MM UP TO 75 MM",Products,1,10,10,10,Products,Commodity,NULL,FALSE,NULL,2.  Weapons & Ammunition,Guns,Guns Over 30 mm through To 75 mm,Guns Over 30 mm through To 75 mm,Ordnance and Missiles,Launchers & Munitions,Launchers & Munitions,FALSE,NULL,NULL,NULL,NULL,Launchers & Munitions,"Weapons, Ammunition and Missiles",0,Weapons and Ammunition,3e-4,NULL,Launchers & Munitions,FALSE,12,Weapons & Ammunition,12.4,Guns,NULL,,NULL,NULL,NULL,,NULL
1015,"GUNS, 75 MM THROUGH 125 MM",Products,1,10,15,15,Products,Commodity,NULL,FALSE,NULL,2.  Weapons & Ammunition,Guns,Guns 75 mm through 125 mm,Guns 75 mm through 125 mm,Ordnance and Missiles,Launchers & Munitions,Launchers & Munitions,FALSE,NULL,NULL,NULL,NULL,Launchers & Munitions,"Weapons, Ammunition and Missiles",0,Weapons and Ammunition,0.0033,NULL,Launchers & Munitions,FALSE,12,Weapons & Ammunition,12.4,Guns,NULL,,NULL,NULL,NULL,,NULL
1020,GUNS OVER 125 MM THROUGH 150 MM,Products,1,10,20,10,Products,Commodity,NULL,FALSE,NULL,2.  Weapons & Ammunition,Guns,Guns Over 125 mm through 150 mm,Guns Over 125 mm through 150 mm,Ordnance and Missiles,Launchers & Munitions,Launchers & Munitions,FALSE,NULL,NULL,NULL,NULL,Launchers & Munitions,"Weapons, Ammunition and Missiles",NULL,Weapons and Ammunition,-5.00E-04,NULL,Launchers & Munitions,FALSE,12,Weapons & Ammunition,12.4,Guns,NULL,,NULL,NULL,NULL,,NULL
1025,GUNS OVER 150 MM THROUGH 200 MM,Products,1,10,25,15,Products,Commodity,NULL,FALSE,NULL,2.  Weapons & Ammunition,Guns,Guns Over 150 mm through 200 mm,Guns Over 150 mm through 200 mm,Ordnance and Missiles,Launchers & Munitions,Launchers & Munitions,FALSE,2,NULL,NULL,NULL,Launchers & Munitions,"Weapons, Ammunition and Missiles",0,Weapons and Ammunition,1e-4,NULL,Launchers & Munitions,FALSE,12,Weapons & Ammunition,12.4,Guns,NULL,,NULL,NULL,NULL,,NULL
1030,GUNS OVER 200 MM THROUGH 300 MM,Products,1,10,30,10,Products,Commodity,NULL,FALSE,NULL,2.  Weapons & Ammunition,Guns,Guns Over 200 mm through 300 mm,Guns Over 200 mm through 300 mm,Ordnance and Missiles,Launchers & Munitions,Launchers & Munitions,FALSE,NULL,NULL,NULL,NULL,Launchers & Munitions,"Weapons, Ammunition and Missiles",0,Weapons and Ammunition,0,NULL,Launchers & Munitions,FALSE,12,Weapons & Ammunition,12.4,Guns,NULL,,NULL,NULL,NULL,,NULL
1035,"GUNS, OVER 300 MM",Products,1,10,35,15,Products,Commodity,NULL,FALSE,NULL,2.  Weapons & Ammunition,Guns,Guns Over 300 mm,Guns Over 300 mm,Ordnance and Missiles,Launchers & Munitions,Launchers & Munitions,FALSE,NULL,NULL,NULL,NULL,Launchers & Munitions,"Weapons, Ammunition and Missiles",0,Weapons and Ammunition,0,NULL,Launchers & Munitions,FALSE,12,Weapons & Ammunition,12.4,Guns,NULL,,NULL,NULL,NULL,,NULL
