vendorcountrycode	MaxOfNewFKrecipient_country_name	unmatched_name_count	PKCountry3LetterCode	SKCountry3LetterCodeText	any_name_match	PrimaryKeyTable	SecondaryKeyTable
ABW	ARUBA	1	ABW	ARUBA [NETHERLANDS]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
AIA	ANGUILLA	1	AIA	ANGUILLA [UNITED KINGDOM]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
BHS	BAHAMAS, THE	1	BHS	BAHAMAS,THE	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
BMU	BERMUDA	1	BMU	BERMUDA [UNITED KINGDOM]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
CIV	COTE D'IVOIRE	1	CIV	COTE DIVOIRE	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
COD	CONGO (KINSHASA)	1	COD	CONGO,DEMOCRATIC REPUBLIC OF THE (KINSHASA)	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
COG	CONGO (BRAZZAVILLE)	1	COG	CONGO,REPUBLIC OF THE (BRAZZAVILLE)	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
CPV	CABO VERDE	1	CPV	CAPE VERDE	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
CUW	CURACAO	1	CUW	Curaçao	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
GIB	GIBRALTAR	1	GIB	GIBRALTAR [UNITED KINGDOM]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
GMB	GAMBIA, THE	1	GMB	GAMBIA,THE	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
GRL	GREENLAND	1	GRL	GREENLAND [DENMARK]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
IMN	ISLE OF MAN	1	IMN	MAN,ISLE OF	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
KOR	KOREA, SOUTH	1	KOR	SOUTH KOREA	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
MMR	BURMA	1	MMR	BURMA (MYANMAR)	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
NCL	NEW CALEDONIA	1	NCL	NEW CALEDONIA [FRANCE]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
SSD	SOUTH SUDAN	1	SSD	REPUBLIC OF SOUTH SUDAN	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
SUR	SURINAME	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
TCA	TURKS AND CAICOS ISLANDS	1	TCA	TURKS AND CAICOS ISLANDS [UNITED KINGDOM]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
VGB	VIRGIN ISLANDS, BRITISH	1	VGB	BRITISH VIRGIN ISLANDS [UNITED KINGDOM]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode



Warning: Null value is eliminated by an aggregate or other SET operation.
idvagencyid	MaxOfNewFKparent_award_agency_name	unmatched_name_count	PKAgencyIDtext	any_name_match	PrimaryKeyTable
1205	USDA, DEPARTMENTAL ADMINISTRATION	1	USDA, OFFICE OF THE CHIEF FINANCIAL OFFICER	1	FPDSTypeTable.AgencyID
12D0	FARM PRODUCTION AND CONSERVATION BUSINESS CENTER	1	UNDER SECRETARY FOR FARM AND FOREIGN AGRICULTURAL SERVICES	0	FPDSTypeTable.AgencyID
1323	US CENSUS BUREAU	1	BUREAU OF THE CENSUS	0	FPDSTypeTable.AgencyID
1344	US PATENT AND TRADEMARK OFFICE	1	PATENT AND TRADEMARK OFFICE	0	FPDSTypeTable.AgencyID
1406	DEPARTMENTAL OFFICES	1	OFFICE OF POLICY, MANAGEMENT, AND BUDGET	0	FPDSTypeTable.AgencyID
1434	US GEOLOGICAL SURVEY	1	GEOLOGICAL SURVEY	0	FPDSTypeTable.AgencyID
1450	BUREAU OF INDIAN AFFAIRS AND BUREAU OF INDIAN EDUCATION	1	BUREAU OF INDIAN AFFAIRS	1	FPDSTypeTable.AgencyID
1540	FEDERAL PRISON SYSTEM / BUREAU OF PRISONS	1	FEDERAL PRISON SYSTEM	0	FPDSTypeTable.AgencyID
1542	FEDERAL PRISON INDUSTRIES, INC.	1	FEDERAL PRISON INDUSTRIES / UNICOR	1	FPDSTypeTable.AgencyID
1605	OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT	1	OFFICE OF THE ASSISTANT SECRETARY FOR ADMIN AND MANAGEMENT	0	FPDSTypeTable.AgencyID
1608	OFFICE OF PUBLIC AFFAIRS	1	OFFICE OF INFORMATION AND PUBLIC AFFAIRS	0	FPDSTypeTable.AgencyID
1622	OFFICE OF CHIEF FINANCIAL OFFICER	1	OFFICE OF THE CHIEF FINANCIAL OFFICER	0	FPDSTypeTable.AgencyID
6901	OFFICE OF THE SECRETARY	1	IMMEDIATE OFFICE OF THE SECRETARY OF TRANSPORTATION	1	FPDSTypeTable.AgencyID
7505	OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE	1	OFFICE OF ASSISTANT SECRETARY FOR MANAGEMENT AND BUDGET	0	FPDSTypeTable.AgencyID
7523	CENTERS FOR DISEASE CONTROL AND PREVENTION	1	CENTERS FOR DISEASE CONTROL	0	FPDSTypeTable.AgencyID
7528	AGENCY FOR HEALTHCARE RESEARCH AND QUALITY	1	AGENCY FOR HEALTH CARE POLICY AND RESEARCH	0	FPDSTypeTable.AgencyID
7555	PROGRAM SUPPORT CENTER	1	OFFICE OF ASST SECRETARY FOR HEALTH EXCEPT NATIONAL CENTERS	0	FPDSTypeTable.AgencyID
8960	FEDERAL ENERGY REGULATORY COMMISSION	1	FERC	0	FPDSTypeTable.AgencyID
9568	UNITED STATES AGENCY FOR GLOBAL MEDIA, BBG	1	BROADCASTING BOARD OF GOVERNORS	0	FPDSTypeTable.AgencyID
9700	DEPT OF DEFENSE	1	DEPARTMENT OF DEFENSE	0	FPDSTypeTable.AgencyID



Warning: Null value is eliminated by an aggregate or other SET operation.
contractingofficeagencyid	MaxOfNewFKawarding_sub_agency_name	unmatched_name_count	PKAgencyIDtext	any_name_match	PrimaryKeyTable
1205	USDA, DEPARTMENTAL ADMINISTRATION	1	USDA, OFFICE OF THE CHIEF FINANCIAL OFFICER	0	FPDSTypeTable.AgencyID
